run_accession	sample_accession	country	collection_date	sample_alias	fastq_ftp	scientific_name	city
ERR14788959	SAMEA13189733	Cameroon	2018-08-17	DTU_2018_1013569_1_MG_CM1808_L73	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/059/ERR14788959/ERR14788959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/059/ERR14788959/ERR14788959_2.fastq.gz	wastewater metagenome	Yaounde
ERR14789022	SAMEA13189734	Canada	2018-03-21	DTU_2018_1013570_1_MG_CA1803_L74	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/022/ERR14789022/ERR14789022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/022/ERR14789022/ERR14789022_2.fastq.gz	wastewater metagenome	Regina
ERR14789023	SAMEA13189735	Canada	2018-04-01	DTU_2018_1013571_1_MG_CA1804_L75	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/023/ERR14789023/ERR14789023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/023/ERR14789023/ERR14789023_2.fastq.gz	wastewater metagenome	Regina
ERR14789024	SAMEA13189736	Canada	2018-05-29	DTU_2018_1013572_1_MG_CA1805_L76	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/024/ERR14789024/ERR14789024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/024/ERR14789024/ERR14789024_2.fastq.gz	wastewater metagenome	Regina
ERR14789025	SAMEA13189737	Canada	2018-07-30	DTU_2018_1013573_1_MG_CA1807_L77	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/025/ERR14789025/ERR14789025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/025/ERR14789025/ERR14789025_2.fastq.gz	wastewater metagenome	Regina
ERR14789026	SAMEA13189738	Canada	2018-08-16	DTU_2018_1013574_1_MG_CA1808_L78	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/026/ERR14789026/ERR14789026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/026/ERR14789026/ERR14789026_2.fastq.gz	wastewater metagenome	Regina
ERR14789158	SAMEA13189739	Canada	2018-09-28	DTU_2018_1013575_1_MG_CA1809_L79	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/058/ERR14789158/ERR14789158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/058/ERR14789158/ERR14789158_2.fastq.gz	wastewater metagenome	Regina
ERR14789028	SAMEA13189740	Ecuador	2018-03-29	DTU_2018_1013576_1_MG_EC1803_L80	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/028/ERR14789028/ERR14789028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/028/ERR14789028/ERR14789028_2.fastq.gz	wastewater metagenome	Quito
ERR14789029	SAMEA13189741	Ecuador	2018-04-26	DTU_2018_1013577_1_MG_EC1804_L81	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/029/ERR14789029/ERR14789029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/029/ERR14789029/ERR14789029_2.fastq.gz	wastewater metagenome	Quito
ERR14789030	SAMEA13189742	Ecuador	2018-05-25	DTU_2018_1013578_1_MG_EC1805_L82	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/030/ERR14789030/ERR14789030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/030/ERR14789030/ERR14789030_2.fastq.gz	wastewater metagenome	Quito
ERR14789031	SAMEA13189743	Ecuador	2018-07-26	DTU_2018_1013579_1_MG_EC1807_L83	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/031/ERR14789031/ERR14789031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/031/ERR14789031/ERR14789031_2.fastq.gz	wastewater metagenome	Quito
ERR14789032	SAMEA13189744	Ecuador	2018-08-29	DTU_2018_1013580_1_MG_EC1808_L84	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/032/ERR14789032/ERR14789032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/032/ERR14789032/ERR14789032_2.fastq.gz	wastewater metagenome	Quito
ERR14788837	SAMEA13189745	China	2018-04-10	DTU_2018_1013581_1_MG_CN1804_L85	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/037/ERR14788837/ERR14788837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/037/ERR14788837/ERR14788837_2.fastq.gz	wastewater metagenome	Guangzhou
ERR14788838	SAMEA13189746	China	2018-05-11	DTU_2018_1013582_1_MG_CN1805_L86	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/038/ERR14788838/ERR14788838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/038/ERR14788838/ERR14788838_2.fastq.gz	wastewater metagenome	Guangzhou
ERR14788839	SAMEA13189747	China	2018-08-09	DTU_2018_1013583_1_MG_CN1808_L87	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/039/ERR14788839/ERR14788839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/039/ERR14788839/ERR14788839_2.fastq.gz	wastewater metagenome	Guangzhou
ERR14788840	SAMEA13189748	China	2018-09-01	DTU_2018_1013584_1_MG_CN1809_L88	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/040/ERR14788840/ERR14788840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/040/ERR14788840/ERR14788840_2.fastq.gz	wastewater metagenome	Guangzhou
ERR14788841	SAMEA13189749	China	2018-10-09	DTU_2018_1013585_1_MG_CN1810_L89	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/041/ERR14788841/ERR14788841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/041/ERR14788841/ERR14788841_2.fastq.gz	wastewater metagenome	Guangzhou
ERR14788956	SAMEA13189750	Cameroon	2018-04-03	DTU_2018_1013586_1_MG_CM1804_L96	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/056/ERR14788956/ERR14788956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/056/ERR14788956/ERR14788956_2.fastq.gz	wastewater metagenome	Yaounde
ERR14788955	SAMEA13189753	Cameroon	2018-03-18	DTU_2018_1013589_1_MG_CM1803_L99	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/055/ERR14788955/ERR14788955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/055/ERR14788955/ERR14788955_2.fastq.gz	wastewater metagenome	Yaounde
ERR14788922	SAMEA14509403	Australia	2017-05-12	DTU_2017_558_1_MG_AU_ME_255	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/022/ERR14788922/ERR14788922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/022/ERR14788922/ERR14788922_2.fastq.gz	wastewater metagenome	Melbourne
ERR14788969	SAMEA4777391	Malaysia	2017-06-15	DTU2017_MG_11_MY_KL	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/069/ERR14788969/ERR14788969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/069/ERR14788969/ERR14788969_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14788944	SAMEA4777413	Cameroon	2017-06-15	DTU2017_MG_13_CM_YA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/044/ERR14788944/ERR14788944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/044/ERR14788944/ERR14788944_2.fastq.gz	wastewater metagenome	Yaounde
ERR14788996	SAMEA4777531	USA	2017-06-13	DTU2017_MG_94_US_SE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/096/ERR14788996/ERR14788996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/096/ERR14788996/ERR14788996_2.fastq.gz	wastewater metagenome	Seattle
ERR14788971	SAMEA7426282	Malaysia	2018-12-07	DTU_2018_824_1_MG_MY_KL_508	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/071/ERR14788971/ERR14788971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/071/ERR14788971/ERR14788971_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14788947	SAMEA7426367	Cameroon	2018-11-23	DTU_2018_912_1_MG_CM_YA_597	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/047/ERR14788947/ERR14788947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/047/ERR14788947/ERR14788947_2.fastq.gz	wastewater metagenome	Yaounde
ERR14788970	SAMEA7428278	Malaysia	2017-11-30	DTU_2017_534_1_MG_MY_KL_230	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/070/ERR14788970/ERR14788970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/070/ERR14788970/ERR14788970_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14788945	SAMEA7428333	Cameroon	2017-11-17	DTU_2017_595_1_MG_CM_YA_291	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/045/ERR14788945/ERR14788945_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/045/ERR14788945/ERR14788945_2.fastq.gz	wastewater metagenome	Yaounde
ERR14788997	SAMEA7428349	USA	2017-11-28	DTU_2017_611_1_MG_US_SE_307	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/097/ERR14788997/ERR14788997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/097/ERR14788997/ERR14788997_2.fastq.gz	wastewater metagenome	Seattle
ERR14789038	SAMEA7428365	Ecuador	2017-11-23	DTU_2017_627_1_MG_EC_QU_323	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/038/ERR14789038/ERR14789038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/038/ERR14789038/ERR14789038_2.fastq.gz	wastewater metagenome	Quito
ERR14788843	SAMEA7428372	China	2017-12-21	DTU_2017_634_1_MG_CN_GU_330	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/043/ERR14788843/ERR14788843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/043/ERR14788843/ERR14788843_2.fastq.gz	wastewater metagenome	Guangzhou
ERR14789039	SAMEA7428480	Ecuador	2018-06-28	DTU_2018_716_1_MG_EC_QU_413	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/039/ERR14789039/ERR14789039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/039/ERR14789039/ERR14789039_2.fastq.gz	wastewater metagenome	Quito
ERR14788972	SAMEA7428492	Malaysia	2018-06-29	DTU_2018_728_1_MG_MY_KL_1_425	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/072/ERR14788972/ERR14788972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/072/ERR14788972/ERR14788972_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14788998	SAMEA7428513	USA	2018-06-21	DTU_2018_751_1_MG_US_SE_448	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/098/ERR14788998/ERR14788998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/098/ERR14788998/ERR14788998_2.fastq.gz	wastewater metagenome	Seattle
ERR14788999	SAMEA7428514	USA	2018-06-20	DTU_2018_752_1_MG_US_SE_2_449	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/099/ERR14788999/ERR14788999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/099/ERR14788999/ERR14788999_2.fastq.gz	wastewater metagenome	Seattle
ERR14788923	SAMEA7428519	Australia	2018-06-19	DTU_2018_757_1_MG_AU_ME_454	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/023/ERR14788923/ERR14788923_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/023/ERR14788923/ERR14788923_2.fastq.gz	wastewater metagenome	Melbourne
ERR14788946	SAMEA7428522	Cameroon	2018-06-20	DTU_2018_761_1_MG_CM_YA_458	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/046/ERR14788946/ERR14788946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/046/ERR14788946/ERR14788946_2.fastq.gz	wastewater metagenome	Yaounde
ERR14788844	SAMEA7428540	China	2018-06-05	DTU_2018_783_1_MG_CN_GU_480	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/044/ERR14788844/ERR14788844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/044/ERR14788844/ERR14788844_2.fastq.gz	wastewater metagenome	Guangzhou
