run_accession	sample_accession	country	collection_date	sample_alias	fastq_ftp	scientific_name	city
ERR14788975	SAMEA13189678	Malaysia	2017-09-12	DTU_2017_1013514_1_MG_MY1709_L10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/075/ERR14788975/ERR14788975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/075/ERR14788975/ERR14788975_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14788976	SAMEA13189679	Malaysia	2017-10-10	DTU_2017_1013515_1_MG_MY1710_L11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/076/ERR14788976/ERR14788976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/076/ERR14788976/ERR14788976_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14788845	SAMEA13189680	China	2017-07-11	DTU_2017_1013516_1_MG_CN1707_L12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/045/ERR14788845/ERR14788845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/045/ERR14788845/ERR14788845_2.fastq.gz	wastewater metagenome	Guangzhou
ERR14788846	SAMEA13189681	China	2017-08-23	DTU_2017_1013517_1_MG_CN1708_L13	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/046/ERR14788846/ERR14788846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/046/ERR14788846/ERR14788846_2.fastq.gz	wastewater metagenome	Guangzhou
ERR14788847	SAMEA13189682	China	2017-09-30	DTU_2017_1013518_1_MG_CN1709_L14	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/047/ERR14788847/ERR14788847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/047/ERR14788847/ERR14788847_2.fastq.gz	wastewater metagenome	Guangzhou
ERR14788848	SAMEA13189683	China	2017-10-13	DTU_2017_1013519_1_MG_CN1710_L15	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/048/ERR14788848/ERR14788848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/048/ERR14788848/ERR14788848_2.fastq.gz	wastewater metagenome	Guangzhou
ERR14788926	SAMEA13189686	Australia	2017-09-27	DTU_2017_1013522_1_MG_AU1709_L20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/026/ERR14788926/ERR14788926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/026/ERR14788926/ERR14788926_2.fastq.gz	wastewater metagenome	Melbourne
ERR14788927	SAMEA13189687	Australia	2017-10-16	DTU_2017_1013523_1_MG_AU1710_L21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/027/ERR14788927/ERR14788927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/027/ERR14788927/ERR14788927_2.fastq.gz	wastewater metagenome	Melbourne
ERR14788951	SAMEA13189688	Cameroon	2017-10-23	DTU_2017_1013524_1_MG_CM1710_L22	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/051/ERR14788951/ERR14788951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/051/ERR14788951/ERR14788951_2.fastq.gz	wastewater metagenome	Yaounde
ERR14788952	SAMEA13189689	Cameroon	2017-12-20	DTU_2017_1013525_1_MG_CM1712_L23	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/052/ERR14788952/ERR14788952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/052/ERR14788952/ERR14788952_2.fastq.gz	wastewater metagenome	Yaounde
ERR14788953	SAMEA13189690	Cameroon	2018-01-19	DTU_2018_1013526_1_MG_CM1801_L24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/053/ERR14788953/ERR14788953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/053/ERR14788953/ERR14788953_2.fastq.gz	wastewater metagenome	Yaounde
