name,taxid,ERR14789322,ERR14789323,ERR14789324,ERR14789325,ERR14789326,ERR14789327,ERR14789328,ERR14789329,ERR14789330,ERR14789331,ERR14789332,ERR14789333,ERR14789175,ERR14789176,ERR14789177,ERR14789178,ERR14789179,ERR14789181,ERR14789182,ERR14789183,ERR14789184,ERR14789185,ERR14789186,ERR14789187,ERR14789188,ERR14789189,ERR14789190,ERR14789307,ERR14789308,ERR14789309,ERR14789310,ERR14789311,ERR14789312,ERR14789313,ERR14789315,ERR14789316,ERR14789317,ERR14789318,ERR14789319,ERR14789320,ERR14789321,ERR14789259,ERR14789260,ERR14789261,ERR14789262,ERR14789263,ERR14789264,ERR14789265,ERR14789266,ERR14789267,ERR14789268,ERR14789269,ERR14789270,ERR14789271,ERR14789272,ERR14789273,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789373,ERR14789374,ERR14789375,ERR14789376,ERR14789377,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382,ERR14789353,ERR14789357,ERR14789358,ERR14789359,ERR14789360,ERR14789361,ERR14789362,ERR14789363,ERR14789364,ERR14789365,ERR14789366,ERR14789367,ERR14789334,ERR14789335,ERR14789337,ERR14789338,ERR14789339,ERR14789340,ERR14789341,ERR14789342,ERR14789343,ERR14789344,ERR14789345,ERR14789346,ERR14789347,ERR14789348,ERR14789282,ERR14789283,ERR14789284,ERR14789285,ERR14789286,ERR14789287,ERR14789288,ERR14789289,ERR14789290,ERR14789291,ERR14789292,ERR14789293,ERR14789294,ERR14789295,ERR14789296,ERR14789297
              Rauchvirus,542959,,,,0.04,0.04,,,,,0.41,0.1,0.15,,,1.28,,,,,,,,,0.11,0.11,0.18,,,,,,,,,,,,,,,,0.38,0.24,0.56,0.59,,0.71,0.61,,0.44,0.2,0.13,0.22,,0.46,0.31,0.17,,,,,,,,,,,0.46,,0.28,,0.03,6.58,2.67,2.06,0.74,4.89,3.44,0.47,0.29,0.38,3.02,1.87,,,,,,0.29,,,,,,,,,,,0.14,,,,,,,0.08,0.07,,,,0.06,0.12
              Uetakevirus,542960,,,,,,,,,,,0.21,,1.1,0.33,,,1.57,,,0.05,0.16,0.13,0.14,0.35,0.3,0.3,0.26,0.37,0.42,0.84,,0.26,,0.2,,,,,0.35,,,0.13,0.36,0.26,0.36,,0.35,0.39,,0.26,0.21,0.23,0.68,0.4,,,,,,,,,,,,,,1.08,,,,0.06,,0.05,0.11,,,,0.15,,,,,0.11,,,,,0.54,,,,,,,,0.1,,,,,,,,,,,0.07,,,,,
              Bruynoghevirus,545932,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Ostreavirus,548686,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Percavirus,548688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,
            Alphabaculovirus,558016,,0.6,,0.04,,,,,,0.12,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.13,0.15,0.08,,,,,0.25,,0.18,,,0.12,,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,0.19,,0.14,,,,,,,,,,,,,,,,,,,,0.22,,,0.15,0.07,0.13,,,,0.08,0.15
            Betabaculovirus,558017,,,,,,,,,,,,,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,1.06,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
              Bixzunavirus,680114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
                Phikzvirus,680115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Kuravirus,680277,,0.25,,0.05,,,,,,,,,,,,,,,,,0.11,0.1,0.08,0.41,0.26,0.69,0.28,,,,,0.23,,,,,,,,,,0.07,0.3,,0.1,,0.32,,,0.23,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,0.18,,0.18,,,0.19,0.44,0.23,0.05,,0.32,0.08,0.24,0.43
                  Salivirus,688449,,,,,,,,,,,,,,,,0.42,,,,0.02,,,0.13,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,0.38,0.45,,1.03,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.43,,,,,,,,,,,,,0.07,,0.1
                    Alphacoronavirus,693996,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Betacoronavirus,694002,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,
                Cyclovirus,742914,,,,,,,,,,,,,,0.28,,,0.54,0.65,,0.07,0.14,0.12,0.15,0.47,0.2,,,,,,,,0.62,0.18,,0.33,0.42,,0.16,,,,,,,,,,,,,,,,,,0.25,0.88,0.24,,0.25,0.56,0.75,,,,0.27,,0.38,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47,31.23,18.74,21.95,19.54,2.79,9.73,30.71,15.32,18.38,3.84,41.75,28.89,25.74,12.0,22.21
                  Felixounavirus,1198140,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,0.08,,,,,,,,,,0.08,0.11,0.09,0.1,,,,0.7,,,,,,0.12,,,,,,,,,,,,,1.66,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,,,,1.44,0.47,,,,0.08
                Kappatorquevirus,1218487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Muscavirus,1285593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Alphanecrovirus,1299309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,0.23,,,,,,,,,,,,0.14,,,0.2,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,0.33,,,,0.3,,,,,,,,,,,,,,,,,,,
                  Betanecrovirus,1299311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,
                  Yuavirus,1299429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.09,,,,,,,0.72,0.09,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,
                  Hunnivirus,1431456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,0.09,,
                  Protoparvovirus,1506574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Bocaparvovirus,1507401,,,,,,,,,,,0.06,,,,,,,,,0.02,,,,0.26,,,,,0.58,0.69,,0.16,,,,0.26,0.17,,,,,,,,0.11,,,,,,,,,,,,,0.52,0.32,0.35,0.25,0.32,0.28,,0.62,,0.31,,0.28,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,3.48,,0.08,,,,2.86,,
            Alphanudivirus,1511853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.13,0.19,,0.46,0.28,0.16,,,0.31,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Nyavirus,1513295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,
                  Marseillevirus,1513458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Gemycircularvirus,1542744,,0.16,,0.19,,1.61,,,,,0.08,,,1.04,,,,,,0.11,0.16,,,0.18,1.26,0.27,0.24,,,,,,1.25,,0.91,,,,,,,,0.4,0.22,2.18,,,,,,,,,,,0.73,0.28,5.2,0.8,0.72,0.59,0.44,0.64,2.17,1.06,2.28,5.62,,1.51,0.53,2.25,0.04,,,,0.09,,1.82,,0.86,,,,,3.29,,,,,1.56,0.86,,,6.1,,,,1.34,,0.1,,,,0.69,,,,,,,0.06,0.08,
              Bignuzvirus,1623277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
                  Bronvirus,1623278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,
              Charlievirus,1623280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
              Cheoctovirus,1623281,,,,,0.11,,,,,,,,,,,,,,,,0.32,,,,,0.52,,,,,,0.43,,,,,,,,,,0.33,0.25,0.33,0.33,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,0.52,0.89,,,,,1.11,,,,,1.35,,,0.4,,,,,,0.41,,,0.48,0.24,0.15,,,,,0.3
                Chivirus,1623283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,0.52,,,,,,,0.26
              Kostyavirus,1623284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Corndogvirus,1623285,,,,,0.04,,,,,,,,,,0.68,1.65,1.04,0.71,1.33,,0.13,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
              Detrevirus,1623287,,0.13,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.09,,,,,,,,,0.37,0.25,0.42,0.2,,,,,,,,,,,,,0.39,,,,,,0.32,0.22,0.16,,0.87,0.37,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Liefievirus,1623288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
              Dhillonvirus,1623289,,,,,,,,,,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.07,0.2,0.39,,0.15,,,,,0.14,,,,,,,,,,,,,,,,,,,,,0.16,0.09,,,,,,,,0.1,0.11,,,,,,,,,,,,,,,,,,,,0.17,,,0.16,,0.12,,,,,0.08
              Pegunavirus,1623295,,,,,,,,,,,,,,0.24,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Stanholtvirus,1623297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.32,0.2,0.09,0.42,,,,,0.19,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Coetzeevirus,1623300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Brussowvirus,1623303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.11,0.23,0.35,,0.29,,,,0.14,,,,0.15,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.34,,,,,,,0.08,,,0.11,0.19,
                Moineauvirus,1623304,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.2,0.34,0.37,,0.46,,0.77,0.6,0.15,,,,0.31,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,
              Skunavirus,1623305,0.52,0.37,,0.61,0.23,1.08,0.69,0.71,1.34,1.12,1.17,0.87,0.9,0.29,,0.97,0.7,1.74,,0.09,0.31,0.42,0.34,1.86,1.99,0.69,0.92,0.27,0.39,,,0.16,,0.11,,0.25,,,0.22,,,0.56,0.23,0.55,0.84,,0.96,0.5,0.21,,0.53,,,0.2,0.3,0.68,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,0.16,0.22,,0.01,0.37,,0.45,1.44,,0.37,0.99,,,,0.18,,0.36,0.33,0.36,0.29,0.22,0.7,0.14,0.13,0.15,0.21,0.38,0.12,0.08,0.28,0.17
                  Mammarenavirus,1653394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,
              Lessievirus,1720323,0.18,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.16,0.14,0.11,,,,,,,0.18,0.81,,,,,,,,,,,,,,,,,,,,0.29,0.16,0.19,0.14,0.58,,0.08,,0.26,0.15,0.22,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,
              Hollowayvirus,1720324,0.2,,,,,,,,,0.2,0.07,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,0.55,0.38,0.35,0.63,,0.4,0.24,,0.2,0.27,,0.25,,0.23,0.35,,,,,,,,,,,,,,,,0.11,0.39,0.1,0.19,0.07,,0.28,0.26,,1.49,0.25,0.3,0.1,,,,,0.31,,,,,,,,0.09,,,,,,,,,0.17,0.11,0.06,,,,,
                  Sicinivirus,1755587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Kayvirus,1857843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
                  Silviavirus,1857889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Betapolyomavirus,1891714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Agatevirus,1910931,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Alphatrevirus,1910951,,,,,0.1,,,,,,0.09,,,,,,,,,,,,0.08,,,,,,,,,,,,,,0.17,,,,,0.12,0.08,0.11,0.13,,,,,,,,,,,,0.24,0.26,0.39,,0.49,0.3,,,,,,0.36,0.25,,,0.05,,,,,,0.18,0.16,,0.21,,,0.12,,,,,0.24,,,0.22,0.25,,,,,,,,,,,,,,,,,,,,
                  Gequatrovirus,1910952,,,,,0.07,,,,,,0.21,,,,,,,,,,,,,0.13,,,0.18,,,,,,,,,,,,,0.57,,0.12,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.13,0.12,0.11,,,,,0.17,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Sinsheimervirus,1910954,,,,0.04,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,
                  Jerseyvirus,1910991,,,,,,,,,,,,,,,,,,,,0.02,0.14,0.12,0.06,,,0.23,0.12,,,,,,,,,,,,,,,,0.1,0.08,0.08,,0.55,,0.53,,,0.23,,,,,,,,,,,,,,,,1.32,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.19,,,,,0.56,0.83,0.13,0.03,0.25,,0.3,0.21,0.71
                  Kagunavirus,1910992,0.23,0.11,,0.12,0.1,0.38,,,0.46,0.6,0.39,0.83,6.17,1.78,3.24,2.28,3.91,3.08,,0.19,2.0,1.41,0.83,2.13,1.17,1.1,1.36,1.11,1.32,1.35,,0.79,0.37,0.73,0.53,0.54,1.0,0.81,1.05,1.24,0.84,0.44,0.68,0.5,0.57,1.8,1.43,0.83,0.62,0.52,0.33,0.58,1.02,0.63,1.17,0.46,0.84,0.84,1.1,1.11,1.01,1.0,0.71,0.76,0.58,1.48,0.38,2.53,0.81,0.89,0.67,0.18,0.34,0.28,0.19,0.4,0.92,0.13,0.11,0.22,0.21,0.22,0.44,0.67,1.55,,0.78,,0.73,0.49,,0.64,0.5,0.64,,0.04,0.24,2.01,5.82,0.58,0.56,0.31,0.28,,1.28,8.04,0.45,0.39,1.29,0.96,0.88,1.43,7.84
                  Cornellvirus,1910993,,0.08,,,,,,,,,0.08,,1.58,0.33,,,,1.58,,0.04,0.4,0.22,0.07,0.28,0.41,0.52,0.17,,,,,0.14,,0.12,,,,,,,,0.16,0.56,0.32,0.27,,1.06,0.3,,,0.2,0.69,0.47,1.02,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,0.88,,,,0.96,,,,,,,,0.23,,0.98,0.56,,0.31,,,1.96,1.0,0.38,0.08,1.03,0.26,1.33,0.57,0.55
                  Alphacarmovirus,1911599,,,,,,,,,,,0.09,,,0.24,,,,,,0.02,,,0.05,,0.16,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,0.16,,,,,,0.13,0.08,0.29,,0.09,0.12,0.1,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,
                  Gammacarmovirus,1911601,,0.33,0.39,0.23,0.19,,,,0.16,0.15,0.13,,1.65,4.08,3.95,3.19,6.42,,1.59,1.73,4.54,3.5,3.13,0.14,0.58,0.19,0.71,0.76,2.37,0.34,,,1.22,0.65,0.48,0.69,3.62,2.08,0.27,0.95,,0.09,0.18,0.3,0.19,,0.51,1.09,1.55,0.52,1.81,,0.39,0.28,,0.26,2.84,2.6,2.06,2.84,2.14,1.18,3.3,3.9,7.21,,5.84,1.63,3.14,7.01,2.89,0.87,,1.3,0.27,0.71,1.19,0.3,0.26,1.45,,0.32,0.94,1.64,,,0.92,,,,0.4,0.29,0.4,0.37,0.01,,0.24,,,,,0.43,,,,,,,0.26,0.18,,,
                  Caeruleovirus,1911929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Mosigvirus,1913652,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.02,,,,,
                  Gelderlandvirus,1913653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,0.14,,,0.13,,,,0.1,
                  Gaprivervirus,1913654,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
                  Dhakavirus,1914165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,
              Certrevirus,1914850,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,0.15,,,,,,,0.1,,,0.11,0.06,,0.13,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,0.03,,,0.05,,
              Seunavirus,1914851,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,0.18,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Vequintavirus,1914852,,,,0.09,0.06,,0.19,,,0.35,0.24,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.22,0.44,0.34,,0.34,0.3,,0.42,0.27,,0.24,0.21,0.4,0.51,,,,,,,,,,,,0.39,0.25,,,,,,0.08,,0.62,,0.19,,0.33,0.09,0.22,0.15,,,,,0.26,,,0.19,0.36,,,,0.25,,,,,,0.51,,,,,0.36,,,,,
              Obolenskvirus,1915205,,,,,,,,,,,0.08,,,,,,,,,0.04,0.24,0.23,0.09,,0.11,0.18,0.09,,,,,0.16,,,,,,,0.16,,,0.24,0.15,0.16,0.23,,,0.23,,,,0.45,0.45,1.34,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,0.22,,,,,0.31,0.52,0.08,0.03,,0.26,1.13,0.21,0.35
              Jilinvirus,1918725,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Mapvirus,1920750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.26,0.18,0.06,,,,,,0.11,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Gamaleyavirus,1920753,,0.13,,0.1,0.05,,,,,0.54,0.28,,0.49,0.49,1.96,0.46,1.82,1.59,0.71,0.07,1.02,0.96,0.64,1.12,0.96,0.62,0.79,0.27,,0.32,,0.49,0.21,0.48,1.05,0.37,0.58,,1.02,,,1.22,1.62,1.41,0.58,,1.43,0.69,0.88,0.58,0.24,1.43,0.34,0.38,0.67,0.33,0.33,0.36,0.54,0.35,0.72,0.28,0.4,0.62,0.58,,,0.36,0.4,0.33,0.38,0.05,,0.09,,0.08,0.62,0.2,0.34,0.31,0.31,,0.14,0.19,,0.02,,,,,,0.21,,,,,0.15,,1.1,0.19,6.65,0.45,,,0.54,0.26,0.28,0.12,0.14,0.17,0.51,0.16,0.17
                  Litunavirus,1920762,,,,0.04,,,,0.34,,,0.08,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,0.08,0.1,0.1,,,,,,,,0.19,,0.55,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,0.24,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,
                  Drulisvirus,1920774,,,,0.05,0.04,,,,0.16,0.31,0.29,0.29,1.02,0.37,2.0,1.05,1.22,1.54,,0.09,0.66,0.38,0.26,0.95,0.71,0.72,0.53,0.96,,0.34,,0.86,,0.55,1.82,0.26,0.37,0.65,0.34,,0.61,0.97,2.9,1.92,2.03,,1.83,6.15,2.01,0.98,1.6,1.84,1.52,0.56,1.09,1.43,,,,,,,,,,,,,,,,0.28,,0.11,0.23,0.17,0.73,0.21,,,0.41,0.16,0.43,0.2,,0.02,,,0.26,,,,,,,0.09,0.19,1.06,1.64,0.95,0.37,0.26,0.95,0.21,1.13,0.88,0.41,1.51,0.47,0.36,1.07,0.58,0.51
                Webervirus,1920860,,,,,,,,,,,0.05,,1.2,0.91,3.14,2.42,3.26,3.56,1.53,0.15,1.84,1.25,0.73,0.87,0.68,0.8,0.5,4.41,3.34,3.75,8.42,6.23,4.04,3.13,6.42,3.46,2.93,3.99,3.86,5.1,5.36,0.25,0.3,0.3,0.82,,0.22,,,,0.25,,0.28,0.11,2.89,0.38,0.19,,,,0.21,,,,,,,0.55,0.28,,,0.11,,,,,,,,,,,,0.17,0.41,0.02,0.41,,1.85,,,0.26,0.4,0.34,,,0.35,1.34,2.17,0.47,10.43,1.48,1.48,3.4,1.27,1.37,2.01,1.24,1.0,0.79,1.28,0.21,1.34
                  Tlsvirus,1920865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,0.07,,,,,
              Nonagvirus,1921117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.09,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
