realm,kingdom,phylum,class,order,family,genus,species
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus manukha
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus maanav
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, unclassified Cyclovirus
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus manitan
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus bashri
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, Cyclovirus, Cyclovirus nhanloai
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Phenuiviridae, Tanzavirus
 Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Sepolyvirales, Polyomaviridae, Deltapolyomavirus,
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus denguei
 Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus eastern
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Caliciviridae, Sapovirus, Sapovirus sapporoense
 Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Arnidovirineae, Arteriviridae, Equarterivirinae
 Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Spumaretrovirinae, Equispumavirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Oslovirus, Oslovirus ov191,
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus gadgetsense
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Pegivirus, Pegivirus hominis
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Genomoviridae, Gemykibivirus, Gemykibivirus humas3
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Genomoviridae, Gemycircularvirus, unclassified Gemycircularvirus
 Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Genomoviridae, Gemykibivirus, Gemykibivirus humas5
 Monodnaviria, Sangervirae, Phixviricota, Malgrandaviricetes, Petitvirales, Microviridae, Gokushovirinae, unclassified Gokushovirinae
 Riboviria, Orthornavirae, Duplornaviricota, Resentoviricetes, unclassified Resentoviricetes, Reovirales, Sedoreoviridae, Orbivirus
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Phenuiviridae, Bandavirus
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Gyrovirus, Gyrovirus homsa3
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Gyrovirus, Gyrovirus homsa1
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Gyrovirus, Gyrovirus homsa4
 Monodnaviria, Shotokuvirae, Commensaviricota, Cardeaviricetes, Sanitavirales, Anelloviridae, Gyrovirus, Gyrovirus homsa2
 Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Elliovirales, Hantaviridae, Mammantavirinae
 Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Blubervirales, Hepadnaviridae, Orthohepadnavirus, Orthohepadnavirus hominoidei
 Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Hepacivirus,
