realm,kingdom,phylum,class,order,family,genus,species
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus emilheitz,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus envy,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Mktvariviridae, Gordonclarkvirinae, Nieuwekanaalvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Phapecoctavirus, Phapecoctavirus ESCO13,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Phapecoctavirus, Phapecoctavirus ESCO5, Escherichia virus ESCO5
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Peduoviridae, Quadragintavirus, Quadragintavirus ev015
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Peduoviridae, Quadragintavirus, Quadragintavirus ev040
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Peduoviridae, Quadragintavirus, Quadragintavirus ev129
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Peduoviridae, Evevirus, Evevirus ev239
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Jilinvirus, unclassified Jilinvirus,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Jouyvirus, Jouyvirus ev017,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Radostvirus, Radostvirus ev099,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Jouyvirus, Jouyvirus ev207,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Nesevirus, Nesevirus ev243,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Lindbergviridae, Wifcevirus, unclassified Wifcevirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Lindbergviridae, Wifcevirus, Wifcevirus FEC19
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus SYGMH1, Vequintavirus FV3
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus georgbuechner,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Oslovirus, unclassified Oslovirus,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus gluttony,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus gluttonyev152,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Halfdanvirus, Halfdanvirus halfdan,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Halfdanvirus, Halfdanvirus halfdan, Escherichia phage Halfdan
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Shamshuipovirus, Shamshuipovirus HK022,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Wanchaivirus, Wanchaivirus HK106,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Kwaitsingvirus, Kwaitsingvirus HK446,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Wongtaivirus, Wongtaivirus HK542,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Kwaitsingvirus, Kwaitsingvirus HK544,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus HK578,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Lambdavirus, Lambdavirus HK629,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Lambdavirus, Lambdavirus HK630,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Saikungvirus, Saikungvirus HK633,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Saikungvirus, Saikungvirus HK75,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Byrnievirus, Byrnievirus HK97,
 Monodnaviria, Loebvirae, Hofneiviricota, Faserviricetes, Tubulavirales, Inoviridae, Infulavirus, Infulavirus If1
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Drexlerviridae, Tempevirinae, Jahatvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus jat,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus JEP1,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Rosemountvirus, Rosemountvirus yarpen,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus JL1,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Punavirus, unclassified Punavirus,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus JLBYU37,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus JLBYU60,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Marienburgvirus, Marienburgvirus JLK2012,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus slur16,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Pantevenvirales, Straboviridae, Krischvirus, Krischvirus jse
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Drexlerviridae, Braunvirinae, Julespiccardvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographivirales, Autotranscriptaviridae, Studiervirinae, Przondovirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Pantevenvirales, Straboviridae, Krischvirus, Krischvirus RB49
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus karlbarth,
 Monodnaviria, Sangervirae, Phixviricota, Malgrandaviricetes, Petitvirales, Microviridae, Bullavirinae, unclassified Bullavirinae
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus LL12,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Pantevenvirales, Straboviridae, Pseudotevenvirus, Pseudotevenvirus lw1
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Traversvirus, Traversvirus P27,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Oslovirus, Oslovirus Lyz12581Vzw,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Lindbergviridae, Wifcevirus, Wifcevirus mansfield
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus maxburger,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus mckay,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Wanchaivirus, Wanchaivirus mEp234,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Cuauhtlivirus, Cuauhtlivirus mEpX1,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Shamshuipovirus, Shamshuipovirus mEpX2,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Traversvirus, Traversvirus min27,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Phapecoctavirus, Phapecoctavirus Mt1B1P17,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Justusliebigvirus, Justusliebigvirus muut,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Ravinvirus, Ravinvirus N15,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus navn,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Phapecoctavirus, Phapecoctavirus nepoznato,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Phapecoctavirus, Phapecoctavirus nieznany,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus nom,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus oekolampad,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographivirales, Autotranscriptaviridae, Studiervirinae, Foetvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Peduoviridae, Peduovirus, Peduovirus magyaro
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Peduoviridae, Peduovirus, Peduovirus AC1
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Peduoviridae, Xuanwuvirus, Xuanwuvirus P88
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Traversvirus, Traversvirus PA28,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus pangalan,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus paulfeyerabend,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Asteriusvirus, Asteriusvirus PBECO4,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus PC2,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus PEC14,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographivirales, Autonotataviridae, Ermolevavirus, Ermolevavirus PGT2
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Drexlerviridae, Rogunavirinae, unclassified Rogunavirinae
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Phapecoctavirus, Phapecoctavirus phAPEC8, Escherichia virus phAPEC8
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Pantevenvirales, Straboviridae, Krischvirus, Krischvirus georgiaone
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Justusliebigvirus, Justusliebigvirus phi92,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Pantevenvirales, Straboviridae, Carettavirus, Carettavirus e142
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Drexlerviridae, Rogunavirinae, Lindendrivevirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Bcepmuvirus, unclassified Bcepmuvirus,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographivirales, Autonotataviridae, Ermolevavirus, Ermolevavirus PhiKT
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Glaedevirus, unclassified Glaedevirus,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus phiWec189,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus phiWec191,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus phiWec193,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Pantevenvirales, Straboviridae, Slopekvirus, Slopekvirus pht4A
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Schitoviridae, Humphriesvirinae, Pollockvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Xuquatrovirus, unclassified Xuquatrovirus,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Peduoviridae, Peduovirus, Peduovirus pro147
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Peduoviridae, Peduovirus, Peduovirus pro483
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Xuquatrovirus, Xuquatrovirus PTXU04,
 Riboviria, Orthornavirae, Lenarviricota, Leviviricetes, Norzivirales, Fiersviridae, Qubevirus, Qubevirus durum
 Riboviria, Orthornavirae, Lenarviricota, Leviviricetes, Norzivirales, Fiersviridae, Qubevirus, Qubevirus escherichienecus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Pantevenvirales, Straboviridae, Pseudotevenvirus, Pseudotevenvirus RB16
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Pantevenvirales, Straboviridae, Pseudotevenvirus, Pseudotevenvirus RB43
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Punavirus, Punavirus RCS47,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus rolling,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Drexlerviridae, Braunvirinae, Rtpvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus rV5ev146,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Deseoctovirus, unclassified Deseoctovirus,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus SECphi18,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Seuratvirus, Seuratvirus seurat,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Traversvirus, Traversvirus SH2026Stx1,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Skarprettervirus, Skarprettervirus skarpretter,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus slur05,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Sortsnevirus, Sortsnevirus IME279,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Murrayvirus, unclassified Murrayvirus,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Sortsnevirus, Sortsnevirus sortsne,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus SSL2009a,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus theodorherzl,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Sepvirinae, unclassified Sepvirinae,,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Oslovirus, Oslovirus TL2011,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Phapecoctavirus, Phapecoctavirus tuntematon,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographivirales, Autosignataviridae, Molineuxvirinae, Zindervirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus UAEM101,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Phapecoctavirus, Phapecoctavirus ukendt,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Pantevenvirales, Straboviridae, Tevenvirinae, Gelderlandvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus V18,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus opt212,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus Over9000,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus pubbukkers,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Drexlerviridae, Rogunavirinae, Sadiyavirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus teewinot,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Peduoviridae, Peduovirus, Peduovirus pv12474III
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Peduoviridae, Inibicvirus, Inibicvirus 613R3
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Peduoviridae, Reginaelenavirus, unclassified Reginaelenavirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus ECP26,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus ECP32,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Jilinvirus, Jilinvirus ep3,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Phapecoctavirus, Phapecoctavirus Ro121c4YLVW,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Lindbergviridae, Wifcevirus, Wifcevirus Ro157lw
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Chaseviridae, Cleopatravirinae, Sabourvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Jilinvirus, Jilinvirus CVM10,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Jilinvirus, Jilinvirus ECOO78,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Chimalliviridae, Goslarvirus, Goslarvirus goslar
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus gotham,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus HdK5,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Pantevenvirales, Ackermannviridae, Taipeivirus, Taipeivirus KWBSE436
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Justusliebigvirus, Justusliebigvirus PHB05,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Phapecoctavirus, Phapecoctavirus schickermooser, Escherichia virus Schickermooser
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus sophiarose,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Lindbergviridae, Wifcevirus, Wifcevirus SP13
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Rosemountvirus, Rosemountvirus BP63,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Lindbergviridae, Wifcevirus, Wifcevirus WFC
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Lindbergviridae, Wifcevirus, Wifcevirus WFH
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Traversvirus, Traversvirus tv24B,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographivirales, Autoscriptoviridae, Slopekvirinae, unclassified Slopekvirinae
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Uetakevirus, Uetakevirus PAS61,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographivirales, Autoscriptoviridae, Slopekvirinae, Cepavirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Buchananvirus, Buchananvirus Sa179lw,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus dv 101114BS4,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus CHD5UKE2,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus dv011D5,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Drexlerviridae, Braunvirinae, Guelphvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Nonanavirus, unclassified Nonanavirus,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus bov221,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Drexlerviridae, Nouzillyvirus, Nouzillyvirus ESCO41
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Drexlerviridae, Tunavirinae, Badaguanvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Drexlerviridae, Braunvirinae, Inhoffenstrassevirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Drexlerviridae, Vilniusvirus, Vilniusvirus NBD2
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Drexlerviridae, Tempevirinae, Baihuvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus PNS1,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus PTXU06,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus sponge,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Swiduovirus, Swiduovirus swi2,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus WF5505,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus WF1,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus Zar3M,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographivirales, Autotranscriptaviridae, Studiervirinae, Bamvirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus maverick,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographivirales, Autotranscriptaviridae, Studiervirinae, Rindgevirus
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Justusliebigvirus, Justusliebigvirus PD06,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Justusliebigvirus, Justusliebigvirus VEcB,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus waltergehring,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus welsh,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Peduoviridae, Peduovirus, Peduovirus Wphi
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus YD2008s,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Vequintavirus, Vequintavirus YP6,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Dhillonvirus, Dhillonvirus ZCEC10,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Zewailvirus, Zewailvirus ZCEC13,
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Pantevenvirales, Straboviridae, Krischvirus, Krischvirus kfsec
 Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Caudoviricetes incertae sedis, Muvirus, unclassified Muvirus,
